ID,Periods,Month,Year,Airport,CrossCountryFlights_1,TotalFlights_3,Scheduled_4,NonScheduled_5,TotalArrivalsFlights_6,Scheduled_7,NonScheduled_8,TotalDeparturesFlights_9,Scheduled_10,NonScheduled_11,TotalPassengers_12,Scheduled_13,NonScheduled_14,TotalArrivalsPassengers_15,Scheduled_16,NonScheduled_17,TotalDeparturesPassengers_18,Scheduled_19,NonScheduled_20,TotalCountryOfOriginDestination_21,EuropeTotal_22,EUCountries_23,OtherEurope_24,TotalIntercontinentalPassengers_25,Africa_26,NorthAfrica_27,WestAfrica_28,CentralAfrica_29,EastAfrica_30,SouthAfrica_31,America_32,NorthAmerica_33,CentralAmerica_34,SouthAmerica_35,Asia_36,WestAsia_37,SouthEastAsia_38,NorthEastAsia_39,Oceania_40
815,2021MM03,March,2021,Amsterdam Schiphol,12905,12217,11656,561,6112,5837,275,6105,5819,286,660176,658056,2120,331608,330707,901,328568,327349,1219,660176,430955,319392,111563,229221,36634,4694,11017,1379,14671,4873,123707,48381,53803,21523,68880,31593,22014,15273,0
816,2021KW01,Q1,2021,Amsterdam Schiphol,39169,37538,36054,1484,18757,17993,764,18781,18061,720,2034499,2027844,6655,1048544,1045093,3451,985955,982751,3204,2034499,1312050,972584,339466,722449,136460,35511,32528,3890,46735,17796,386513,165627,153611,67275,199476,94034,62626,42816,0
817,2021MM04,April,2021,Amsterdam Schiphol,14489,13720,13254,466,6855,6618,237,6865,6636,229,786652,785753,899,386810,386367,443,399842,399386,456,786652,536128,382479,153649,250524,42789,5635,14411,1588,14769,6386,128293,59973,41933,26387,79442,38019,21444,19979,0
818,2021MM05,May,2021,Amsterdam Schiphol,16628,15576,15220,356,7790,7610,180,7786,7610,176,1106740,1104764,1976,552079,551336,743,554661,553428,1233,1106740,804575,608518,196057,302165,49758,5975,14652,2419,18154,8558,169040,90218,54549,24273,83367,40749,21106,21512,0
819,2021MM06,June,2021,Amsterdam Schiphol,20494,19195,18801,394,9593,9395,198,9602,9406,196,1678265,1666353,11912,816099,810455,5644,862166,855898,6268,1678265,1231479,966229,265250,446786,77058,20564,17492,2947,24768,11287,269639,152456,80783,36400,100089,47623,26362,26104,0
820,2021KW02,Q2,2021,Amsterdam Schiphol,51611,48491,47275,1216,24238,23623,615,24253,23652,601,3571657,3556870,14787,1754988,1748158,6830,1816669,1808712,7957,3571657,2572182,1957226,614956,999475,169605,32174,46555,6954,57691,26231,566972,302647,177265,87060,262898,126391,68912,67595,0
821,2021MM07,July,2021,Amsterdam Schiphol,30496,29141,28577,564,14563,14284,279,14578,14293,285,3029951,3000911,29040,1378580,1366523,12057,1651371,1634388,16983,3029951,2303289,1817411,485878,726662,138555,66288,23884,3148,33409,11826,442554,250840,140466,51248,145553,82938,31657,30958,0
822,2021MM08,August,2021,Amsterdam Schiphol,33118,31847,31222,625,15929,15627,302,15918,15595,323,3786973,3740772,46201,2002462,1977813,24649,1784511,1762959,21552,3786973,2939403,2300080,639323,847570,156726,80943,23520,3328,36716,12219,522054,301725,154481,65848,168790,99406,33806,35578,0
823,2021MM09,September,2021,Amsterdam Schiphol,31820,30019,29431,588,15009,14720,289,15010,14711,299,3370205,3331417,38788,1718856,1698506,20350,1651349,1632911,18438,3370205,2677291,2080979,596312,692914,118090,44148,23202,3005,34362,13373,435718,241557,120547,73614,139106,75464,30401,33241,0
824,2021KW03,Q3,2021,Amsterdam Schiphol,95434,91007,89230,1777,45501,44631,870,45506,44599,907,10187129,10073100,114029,5099898,5042842,57056,5087231,5030258,56973,10187129,7919983,6198470,1721513,2267146,413371,191379,70606,9481,104487,37418,1400326,794122,415494,190710,453449,257808,95864,99777,0
825,2021MM10,October,2021,Amsterdam Schiphol,33037,31324,30789,535,15655,15418,237,15669,15371,298,3745991,3726306,19685,1907661,1896597,11064,1838330,1829709,8621,3745991,2978808,2204098,774710,767183,118666,31886,25769,3376,37549,20086,475162,234121,148366,92675,173355,104283,37117,31955,0
826,2021MM11,November,2021,Amsterdam Schiphol,29730,28371,27913,458,14195,13971,224,14176,13942,234,3095823,3090229,5594,1551581,1548558,3023,1544242,1541671,2571,3095823,2273366,1590431,682935,822457,116795,18036,32834,3721,37766,24438,518786,254593,164111,100082,186876,112633,47219,27024,0
827,2021MM12,December,2021,Amsterdam Schiphol,31358,30225,29793,432,15120,14897,223,15105,14896,209,2855711,2844850,10861,1329625,1325248,4377,1526086,1519602,6484,2855711,1924693,1369691,555002,931018,122891,22474,38592,3520,37607,20698,593224,310974,177547,104703,214903,128246,60260,26397,0
828,2021KW04,Q4,2021,Amsterdam Schiphol,94125,89920,88495,1425,44970,44286,684,44950,44209,741,9697525,9661385,36140,4788867,4770403,18464,4908658,4890982,17676,9697525,7176867,5164220,2012647,2520658,358352,72396,97195,10617,112922,65222,1587172,799688,490024,297460,575134,345162,144596,85376,0
829,2021JJ00,2021,2021,Amsterdam Schiphol,280339,266956,261054,5902,133466,130533,2933,133490,130521,2969,25490810,25319199,171611,12692297,12606496,85801,12798513,12712703,85810,25490810,18981082,14292500,4688582,6509728,1077788,331460,246884,30942,321835,146667,3940983,2062084,1236394,642505,1490957,823395,371998,295564,0
830,2022MM01,January,2022,Amsterdam Schiphol,27131,26231,25905,326,13099,12937,162,13132,12968,164,2488083,2473167,14916,1334253,1326755,7498,1153830,1146412,7418,2488083,1664713,1180918,483795,823370,123579,19715,36233,2778,40535,24318,522154,234824,182605,104725,177637,101785,53922,21930,0
831,2022MM02,February,2022,Amsterdam Schiphol,25198,24129,23743,386,12070,11871,199,12059,11872,187,2660676,2643936,16740,1311499,1303280,8219,1349177,1340656,8521,2660676,1905321,1334191,571130,755355,120084,28837,28639,2459,34753,25396,455413,191060,161686,102667,179858,112424,50494,16940,0
832,2022MM03,March,2022,Amsterdam Schiphol,31821,30382,29909,473,15200,14935,265,15182,14974,208,3732048,3715449,16599,1911518,1902281,9237,1820530,1813168,7362,3732048,2706725,1865976,840749,1025323,150522,41401,34555,3163,38337,33066,632949,333806,178404,120739,241852,156282,68398,17172,0
833,2022KW01,Q1,2022,Amsterdam Schiphol,84150,80742,79557,1185,40369,39743,626,40373,39814,559,8880807,8832552,48255,4557270,4532316,24954,4323537,4300236,23301,8880807,6276759,4381085,1895674,2604048,394185,89953,99427,8400,113625,82780,1610516,759690,522695,328131,599347,370491,172814,56042,0
834,2022MM04,April,2022,Amsterdam Schiphol,35035,33421,32752,669,16680,16302,378,16741,16450,291,4434587,4384090,50497,2141978,2123379,18599,2292609,2260711,31898,4434587,3252399,2222148,1030251,1182188,160086,37546,40773,3116,39827,38824,766641,480869,156643,129129,255461,154179,79427,21855,0
835,2022MM05,May,2022,Amsterdam Schiphol,40208,38419,37364,1055,19205,18668,537,19214,18696,518,5217035,5095936,121099,2674745,2615015,59730,2542290,2480921,61369,5217035,3891004,2692816,1198188,1326031,168827,50612,37188,4939,41689,34399,861886,580872,150821,130193,295318,167706,101792,25820,0
836,2022MM06,June,2022,Amsterdam Schiphol,39103,36919,35915,1004,18463,17924,539,18456,17991,465,5232630,5109036,123594,2630931,2572383,58548,2601699,2536653,65046,5232630,3807896,2623208,1184688,1424734,181674,52544,41361,5125,47889,34755,938211,676303,137808,124100,304849,164309,112717,27823,0
837,2022KW02,Q2,2022,Amsterdam Schiphol,114346,108759,106031,2728,54348,52894,1454,54411,53137,1274,14884252,14589062,295190,7447654,7310777,136877,7436598,7278285,158313,14884252,10951299,7538172,3413127,3932953,510587,140702,119322,13180,129405,107978,2566738,1738044,445272,383422,855628,486194,293936,75498,0
838,2022MM07,July,2022,Amsterdam Schiphol,38012,36000,35066,934,17982,17478,504,18018,17588,430,5179725,5068651,111074,2484720,2436393,48327,2695005,2632258,62747,5179725,3615230,2532730,1082500,1564495,205667,57859,43331,6446,56975,41056,999352,691674,172520,135158,359476,197243,125850,36383,0
839,2022MM08,August,2022,Amsterdam Schiphol,39284,37730,36811,919,18861,18406,455,18869,18405,464,5327361,5207234,120127,2790696,2728793,61903,2536665,2478441,58224,5327361,3743746,2619575,1124171,1583615,226753,74170,45443,5824,60025,41291,988004,682271,169522,136211,368858,207584,121306,39968,0
840,2022MM09,September,2022,Amsterdam Schiphol,39029,37027,36223,804,18518,18133,385,18509,18090,419,5196931,5103260,93671,2627876,2580505,47371,2569055,2522755,46300,5196931,3705504,2549113,1156391,1491427,206825,58834,43417,5146,58726,40702,929705,648794,143954,136957,354897,194317,117274,43306,0
841,2022KW03,Q3,2022,Amsterdam Schiphol,116325,110757,108100,2657,55361,54017,1344,55396,54083,1313,15704017,15379145,324872,7903292,7745691,157601,7800725,7633454,167271,15704017,11064480,7701418,3363062,4639537,639245,190863,132191,17416,175726,123049,2917061,2022739,485996,408326,1083231,599144,364430,119657,0
842,2022MM10,October,2022,Amsterdam Schiphol,38087,36361,35507,854,18189,17824,365,18172,17683,489,4912421,4833662,78759,2489573,2445462,44111,2422848,2388200,34648,4912421,3443474,2333504,1109970,1468947,213876,63664,43707,5921,59995,40589,899342,599749,159460,140133,355729,196436,118928,40365,0
843,2022MM11,November,2022,Amsterdam Schiphol,31672,30348,30054,294,15178,15023,155,15170,15031,139,3987405,3964995,22410,2009494,1996721,12773,1977911,1968274,9637,3987405,2692949,1775754,917195,1294456,203962,63311,44692,3418,53320,39221,720012,435259,165846,118907,370482,189969,134991,45522,0
844,2022MM12,December,2022,Amsterdam Schiphol,31884,30669,30389,280,15329,15168,161,15340,15221,119,4101978,4084140,17838,1988941,1980751,8190,2113037,2103389,9648,4101978,2709722,1772592,937130,1392256,227449,68376,46733,3684,58679,49977,770908,469135,169659,132114,393899,200681,141236,51982,0
845,2022KW04,Q4,2022,Amsterdam Schiphol,101643,97378,95950,1428,48696,48015,681,48682,47935,747,13001804,12882797,119007,6488008,6422934,65074,6513796,6459863,53933,13001804,8846145,5881850,2964295,4155659,645287,195351,135132,13023,171994,129787,2390262,1504143,494965,391154,1120110,587086,395155,137869,0
846,2022JJ00,2022,2022,Amsterdam Schiphol,416464,397636,389638,7998,198774,194669,4105,198862,194969,3893,52470880,51683556,787324,26396224,26011718,384506,26074656,25671838,402818,52470880,37138683,25502525,11636158,15332197,2189304,616869,486072,52019,590750,443594,9484577,6024616,1948928,1511033,3658316,2042915,1226335,389066,0
847,2023MM01,January,2023,Amsterdam Schiphol,31055,29987,29598,389,14994,14795,199,14993,14803,190,3896388,3869189,27199,1993408,1979592,13816,1902980,1889597,13383,3896388,2557198,1686929,870269,1339190,230618,65560,48686,3923,62118,50331,720658,410528,175601,134529,387914,190996,138931,57987,0
848,2023MM02,February,2023,Amsterdam Schiphol,29446,28345,27995,350,14175,13991,184,14170,14004,166,3782228,3754680,27548,1868419,1854953,13466,1913809,1899727,14082,3782228,2569111,1702828,866283,1213117,211776,62002,41583,3626,59462,45103,632782,353704,155418,123660,368559,180000,118650,69909,0
849,2023MM03,March,2023,Amsterdam Schiphol,34653,33128,32760,368,16561,16369,192,16567,16391,176,4585101,4564219,20882,2349324,2338080,11244,2235777,2226139,9638,4585101,3129905,2093162,1036743,1455196,224790,68875,45887,4143,57706,48179,812595,514203,165451,132941,417811,204809,124402,88600,0
850,2023KW01,Q1,2023,Amsterdam Schiphol,95154,91460,90353,1107,45730,45155,575,45730,45198,532,12263717,12188088,75629,6211151,6172625,38526,6052566,6015463,37103,12263717,8256214,5482919,2773295,4007503,667184,196437,136156,11692,179286,143613,2166035,1278435,496470,391130,1174284,575805,381983,216496,0
851,2023MM04,April,2023,Amsterdam Schiphol,37777,36258,35746,512,18126,17843,283,18132,17903,229,5128555,5084847,43708,2512795,2496471,16324,2615760,2588376,27384,5128555,3586955,2433083,1153872,1541600,194201,58469,46850,3652,41761,43469,899023,624690,146467,127866,448376,207767,118478,122131,0
852,2023MM05,May,2023,Amsterdam Schiphol,41298,39568,38806,762,19788,19401,387,19780,19405,375,5599870,5504883,94987,2851081,2804331,46750,2748789,2700552,48237,5599870,4006221,2741697,1264524,1593649,199215,65824,42018,5550,46711,39112,937340,669441,142278,125621,457094,206441,128053,122600,0
853,2023MM06,June,2023,Amsterdam Schiphol,40723,38912,38170,742,19449,19070,379,19463,19100,363,5664120,5575435,88685,2838595,2795865,42730,2825525,2779570,45955,5664120,4013259,2753096,1260163,1650861,204902,57620,43863,4618,56712,42089,968591,710977,134727,122887,477368,210461,129750,137157,0
854,2023KW02,Q2,2023,Amsterdam Schiphol,119798,114738,112722,2016,57363,56314,1049,57375,56408,967,16392545,16165165,227380,8202471,8096667,105804,8190074,8068498,121576,16392545,11606435,7927876,3678559,4786110,598318,181913,132731,13820,145184,124670,2804954,2005108,423472,376374,1382838,624669,376281,381888,0
855,2023MM07,July,2023,Amsterdam Schiphol,42541,40965,39984,981,20476,19966,510,20489,20018,471,6009315,5890874,118441,2870399,2817221,53178,3138916,3073653,65263,6009315,4244511,2933590,1310921,1764804,232032,74769,46551,7076,59094,44542,996361,710246,149249,136866,536411,250588,136016,149807,0
856,2023MM08,August,2023,Amsterdam Schiphol,42932,41584,40570,1014,20798,20280,518,20786,20290,496,6052884,5919728,133156,3138382,3070705,67677,2914502,2849023,65479,6052884,4278189,2947664,1330525,1774695,241116,83391,47029,5806,60798,44092,1001046,719840,148600,132606,532533,255140,129804,147589,0
857,2023MM09,September,2023,Amsterdam Schiphol,41967,40625,39754,871,20308,19879,429,20317,19875,442,5777208,5673349,103859,2917291,2863184,54107,2859917,2810165,49752,5777208,4138808,2852827,1285981,1638400,214794,61070,47341,4634,58040,43709,935225,669022,135210,130993,488381,220790,126364,141227,0
858,2023KW03,Q3,2023,Amsterdam Schiphol,127440,123174,120308,2866,61582,60125,1457,61592,60183,1409,17839407,17483951,355456,8926072,8751110,174962,8913335,8732841,180494,17839407,12661508,8734081,3927427,5177899,687942,219230,140921,17516,177932,132343,2932632,2099108,433059,400465,1557325,726518,392184,438623,0
859,2023MM10,October,2023,Amsterdam Schiphol,42962,41553,40723,830,20788,20388,400,20765,20335,430,5820061,5734623,85438,2939440,2891735,47705,2880621,2842888,37733,5820061,4177245,2834908,1342337,1642816,233437,71406,54224,4738,58971,44098,935262,657597,142794,134871,474117,198337,132911,142869,0
860,2023MM11,November,2023,Amsterdam Schiphol,36474,35345,34982,363,17687,17504,183,17658,17478,180,4742398,4714543,27855,2387151,2373282,13869,2355247,2341261,13986,4742398,3321264,2190203,1131061,1421134,224139,73778,49163,3855,57244,40099,765465,496532,151103,117830,431530,167343,128986,135201,0
861,2023MM12,December,2023,Amsterdam Schiphol,36762,35699,35271,428,17830,17596,234,17869,17675,194,4829500,4791927,37573,2334496,2317239,17257,2495004,2474688,20316,4829500,3316852,2133744,1183108,1512648,225254,73460,50137,4086,55816,41755,825977,529322,168963,127692,461417,183472,142807,135138,0
862,2023KW04,Q4,2023,Amsterdam Schiphol,116198,112597,110976,1621,56305,55488,817,56292,55488,804,15391959,15241093,150866,7661087,7582256,78831,7730872,7658837,72035,15391959,10815361,7158855,3656506,4576598,682830,218644,153524,12679,172031,125952,2526704,1683451,462860,380393,1367064,549152,404704,413208,0
863,2023JJ00,2023,2023,Amsterdam Schiphol,458590,441969,434359,7610,220980,217082,3898,220989,217277,3712,61887628,61078297,809331,31000781,30602658,398123,30886847,30475639,411208,61887628,43339518,29303731,14035787,18548110,2636274,816224,563332,55707,674433,526578,10430325,7066102,1815861,1548362,5481511,2476144,1555152,1450215,0
864,2024MM01,January,2024,Amsterdam Schiphol,35987,35050,34594,456,17529,17287,242,17521,17307,214,4543879,4496870,47009,2330098,2304902,25196,2213781,2191968,21813,4543879,3060179,2033701,1026478,1483700,229155,71395,52442,4040,60115,41163,775524,470186,175660,129678,479021,182610,143110,153301,0
865,2024MM02,February,2024,Amsterdam Schiphol,36154,35103,34581,522,17542,17259,283,17561,17322,239,4626939,4577214,49725,2307323,2282047,25276,2319616,2295167,24449,4626939,3230533,2139689,1090844,1396406,226955,76797,49100,4089,58293,38676,698431,414227,165720,118484,471020,182175,135290,153555,0
866,2024MM03,March,2024,Amsterdam Schiphol,39446,38221,37715,506,19110,18832,278,19111,18883,228,5225678,5181304,44374,2636392,2612388,24004,2589286,2568916,20370,5225678,3662128,2442900,1219228,1563550,225515,71494,50647,4179,57612,41583,845283,544552,174037,126694,492752,182877,141691,168184,0
867,2024KW01,Q1,2024,Amsterdam Schiphol,111587,108374,106890,1484,54181,53378,803,54193,53512,681,14396496,14255388,141108,7273813,7199337,74476,7122683,7056051,66632,14396496,9952840,6616290,3336550,4443656,681625,219686,152189,12308,176020,121422,2319238,1428965,515417,374856,1442793,547662,420091,475040,0
868,2024MM04,April,2024,Amsterdam Schiphol,40360,39142,38665,477,19569,19309,260,19573,19356,217,5470432,5422574,47858,2677336,2657138,20198,2793096,2765436,27660,5470432,3913794,2671115,1242679,1556638,183790,60795,40672,3436,40981,37906,899787,633108,147680,118999,473061,178197,132235,162629,0
869,2024MM05,May,2024,Amsterdam Schiphol,43536,42043,41338,705,21013,20654,359,21030,20684,346,5975694,5878846,96848,3050631,3003385,47246,2925063,2875461,49602,5975694,4350862,3004337,1346525,1624832,191836,68807,39563,4563,42561,36342,955932,692656,144910,118366,477064,181966,134779,160319,0
870,2024MM06,June,2024,Amsterdam Schiphol,42492,40857,40198,659,20430,20097,333,20427,20101,326,5958047,5866230,91817,3005969,2960670,45299,2952078,2905560,46518,5958047,4320383,2981380,1339003,1637664,196791,62450,39883,4032,52539,37887,958163,708801,132594,116768,482710,185228,132614,164868,0
871,2024KW02,Q2,2024,Amsterdam Schiphol,126388,122042,120201,1841,61012,60060,952,61030,60141,889,17404173,17167650,236523,8733936,8621193,112743,8670237,8546457,123780,17404173,12585039,8656832,3928207,4819134,572417,192052,120118,12031,136081,112135,2813882,2034565,425184,354133,1432835,545391,399628,487816,0
872,2024MM07,July,2024,Amsterdam Schiphol,43901,42452,41581,871,21224,20761,463,21228,20820,408,6300801,6184983,115818,2984717,2932079,52638,3316084,3252904,63180,6300801,4535569,3122751,1412818,1765232,227260,80830,44117,4129,55586,42598,1003351,721684,157403,124264,534621,205453,140874,188294,0
873,2024MM08,August,2024,Amsterdam Schiphol,44479,43117,42293,824,21561,21151,410,21556,21142,414,6417039,6288980,128059,3362299,3295935,66364,3054740,2993045,61695,6417039,4618422,3201105,1417317,1798617,238616,91325,42384,4302,58148,42457,1017189,733437,158255,125497,542812,202101,143789,196922,0
1148,2015MM01,January,2015,Rotterdam,1602,1144,1031,113,570,515,55,574,516,58,84735,82453,2282,43775,42661,1114,40960,39792,1168,84735,84582,76352,8230,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,2015MM02,February,2015,Rotterdam,1864,1263,1133,130,632,570,62,631,563,68,102424,97019,5405,49394,46577,2817,53030,50442,2588,102424,101790,94371,7419,634,634,634,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,2015MM03,March,2015,Rotterdam,2348,1530,1356,174,766,683,83,764,673,91,126737,121974,4763,65385,63024,2361,61352,58950,2402,126737,125849,116430,9419,888,888,888,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,2015KW01,Q1,2015,Rotterdam,5814,3937,3520,417,1968,1768,200,1969,1752,217,313896,301446,12450,158554,152262,6292,155342,149184,6158,313896,312221,287153,25068,1675,1675,1675,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,2015MM04,April,2015,Rotterdam,2596,1629,1388,241,816,691,125,813,697,116,134281,125479,8802,62045,58461,3584,72236,67018,5218,134281,131289,121690,9599,2992,2992,2992,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,2015MM05,May,2015,Rotterdam,2952,1958,1646,312,975,822,153,983,824,159,190641,170753,19888,95368,85798,9570,95273,84955,10318,190641,187591,169241,18350,3050,3050,3050,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,2015MM06,June,2015,Rotterdam,3141,1991,1660,331,996,830,166,995,830,165,180298,161778,18520,90135,80608,9527,90163,81170,8993,180298,177952,162599,15353,2346,2346,2346,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,2015KW02,Q2,2015,Rotterdam,8689,5578,4694,884,2787,2343,444,2791,2351,440,505220,458010,47210,247548,224867,22681,257672,233143,24529,505220,496832,453530,43302,8388,8388,8388,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,2015MM07,July,2015,Rotterdam,2792,1781,1410,371,886,705,181,895,705,190,155964,132713,23251,70204,61577,8627,85760,71136,14624,155964,152700,132953,19747,3264,3239,2921,318,0,0,0,0,0,0,0,25,25,0,0,0
1157,2015MM08,August,2015,Rotterdam,2678,1688,1349,339,840,674,166,848,675,173,163847,137204,26643,88826,73304,15522,75021,63900,11121,163847,159100,136222,22878,4747,4747,4186,561,0,0,0,0,0,0,0,0,0,0,0,0
1158,2015MM09,September,2015,Rotterdam,2880,1950,1599,351,977,799,178,973,800,173,178517,160687,17830,90050,81069,8981,88467,79618,8849,178517,175359,159628,15731,3158,3158,2888,270,0,0,0,0,0,0,0,0,0,0,0,0
1159,2015KW03,Q3,2015,Rotterdam,8350,5419,4358,1061,2703,2178,525,2716,2180,536,498328,430604,67724,249080,215950,33130,249248,214654,34594,498328,487159,428803,58356,11169,11144,9995,1149,0,0,0,0,0,0,0,25,25,0,0,0
1160,2015MM10,October,2015,Rotterdam,2607,1738,1474,264,861,738,123,877,736,141,152978,139535,13443,80438,72958,7480,72540,66577,5963,152978,150170,135717,14453,2808,2808,2703,105,0,0,0,0,0,0,0,0,0,0,0,0
1161,2015MM11,November,2015,Rotterdam,1845,1223,1059,164,611,537,74,612,522,90,85191,82370,2821,45535,44135,1400,39656,38235,1421,85191,85191,80280,4911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,2015MM12,December,2015,Rotterdam,1839,1127,1008,119,569,502,67,558,506,52,83770,81040,2730,39679,38290,1389,44091,42750,1341,83770,83466,77975,5491,304,304,0,304,0,0,0,0,0,0,0,0,0,0,0,0
1163,2015KW04,Q4,2015,Rotterdam,6291,4088,3541,547,2041,1777,264,2047,1764,283,321939,302945,18994,165652,155383,10269,156287,147562,8725,321939,318827,293972,24855,3112,3112,2703,409,0,0,0,0,0,0,0,0,0,0,0,0
1164,2015JJ00,2015,2015,Rotterdam,29144,19022,16113,2909,9499,8066,1433,9523,8047,1476,1639383,1493005,146378,820834,748462,72372,818549,744543,74006,1639383,1615039,1463458,151581,24344,24319,22761,1558,0,0,0,0,0,0,0,25,25,0,0,0
1165,2016MM01,January,2016,Rotterdam,1670,1164,1074,90,576,539,37,588,535,53,88519,86085,2434,45699,44517,1182,42820,41568,1252,88519,87969,80711,7258,550,550,0,550,0,0,0,0,0,0,0,0,0,0,0,0
1166,2016MM02,February,2016,Rotterdam,2072,1399,1257,142,698,629,69,701,628,73,106972,103694,3278,52229,50518,1711,54743,53176,1567,106972,106516,99714,6802,456,456,0,456,0,0,0,0,0,0,0,0,0,0,0,0
1167,2016MM03,March,2016,Rotterdam,2478,1607,1436,171,804,717,87,803,719,84,127991,124596,3395,64426,62774,1652,63565,61822,1743,127991,127670,119517,8153,321,321,246,75,0,0,0,0,0,0,0,0,0,0,0,0
1168,2016KW01,Q1,2016,Rotterdam,6220,4170,3767,403,2078,1885,193,2092,1882,210,323482,314375,9107,162354,157809,4545,161128,156566,4562,323482,322155,299942,22213,1327,1327,246,1081,0,0,0,0,0,0,0,0,0,0,0,0
1169,2016MM04,April,2016,Rotterdam,2575,1646,1492,154,822,745,77,824,747,77,138051,135825,2226,63706,62998,708,74345,72827,1518,138051,135060,126652,8408,2991,2991,2800,191,0,0,0,0,0,0,0,0,0,0,0,0
1170,2016MM05,May,2016,Rotterdam,2891,1909,1711,198,949,858,91,960,853,107,184418,177340,7078,93465,90039,3426,90953,87301,3652,184418,181699,169045,12654,2719,2719,2719,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,2016MM06,June,2016,Rotterdam,2836,1867,1639,228,927,820,107,940,819,121,176708,169986,6722,87930,84450,3480,88778,85536,3242,176708,174172,165674,8498,2536,2536,2536,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,2016KW02,Q2,2016,Rotterdam,8302,5422,4842,580,2698,2423,275,2724,2419,305,499177,483151,16026,245101,237487,7614,254076,245664,8412,499177,490931,461371,29560,8246,8246,8055,191,0,0,0,0,0,0,0,0,0,0,0,0
1173,2016MM07,July,2016,Rotterdam,2785,1765,1534,231,882,758,124,883,776,107,162493,157519,4974,74515,72505,2010,87978,85014,2964,162493,159890,144552,15338,2603,2603,2603,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,2016MM08,August,2016,Rotterdam,2722,1723,1530,193,859,766,93,864,764,100,161398,154779,6619,85739,81826,3913,75659,72953,2706,161398,158747,141981,16766,2651,2651,2651,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,2016MM09,September,2016,Rotterdam,2899,1872,1659,213,928,831,97,944,828,116,168984,164991,3993,85312,83393,1919,83672,81598,2074,168984,166351,157894,8457,2633,2633,2633,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,2016KW03,Q3,2016,Rotterdam,8406,5360,4723,637,2669,2355,314,2691,2368,323,492875,477289,15586,245566,237724,7842,247309,239565,7744,492875,484988,444427,40561,7887,7887,7887,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,2016MM10,October,2016,Rotterdam,2596,1718,1543,175,857,774,83,861,769,92,142815,140700,2115,74663,73302,1361,68152,67398,754,142815,140076,132747,7329,2739,2739,2739,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,2016MM11,November,2016,Rotterdam,1888,1213,1100,113,607,549,58,606,551,55,93856,92730,1126,48098,47644,454,45758,45086,672,93856,93806,93515,291,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,2016MM12,December,2016,Rotterdam,1745,1172,1056,116,583,524,59,589,532,57,91788,90703,1085,42944,42375,569,48844,48328,516,91788,91738,90712,1026,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
1180,2016KW04,Q4,2016,Rotterdam,6229,4103,3699,404,2047,1847,200,2056,1852,204,328459,324133,4326,165705,163321,2384,162754,160812,1942,328459,325620,316974,8646,2839,2789,2789,0,0,0,0,0,0,0,0,50,50,0,0,0
1181,2016JJ00,2016,2016,Rotterdam,29157,19055,17031,2024,9492,8510,982,9563,8521,1042,1643993,1598948,45045,818726,796341,22385,825267,802607,22660,1643993,1623694,1522714,100980,20299,20249,18977,1272,0,0,0,0,0,0,0,50,50,0,0,0
1182,2017MM01,January,2017,Rotterdam,1844,1179,1058,121,586,529,57,593,529,64,99803,98897,906,50465,50004,461,49338,48893,445,99803,99803,98685,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,2017MM02,February,2017,Rotterdam,1797,1167,1038,129,587,519,68,580,519,61,100103,99363,740,47975,47527,448,52128,51836,292,100103,100034,98314,1720,69,68,0,68,0,0,0,0,0,0,0,1,1,0,0,0
1184,2017MM03,March,2017,Rotterdam,2217,1327,1162,165,655,580,75,672,582,90,121428,120037,1391,62047,61401,646,59381,58636,745,121428,121329,118857,2472,99,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0
1185,2017KW01,Q1,2017,Rotterdam,5858,3673,3258,415,1828,1628,200,1845,1630,215,321334,318297,3037,160487,158932,1555,160847,159365,1482,321334,321166,315856,5310,168,167,0,167,0,0,0,0,0,0,0,1,1,0,0,0
1186,2017MM04,April,2017,Rotterdam,2386,1434,1288,146,723,644,79,711,644,67,153870,151364,2506,72466,71321,1145,81404,80043,1361,153870,148860,147841,1019,5010,5010,4382,628,0,0,0,0,0,0,0,0,0,0,0,0
1187,2017MM05,May,2017,Rotterdam,2765,1718,1396,322,856,699,157,862,697,165,190720,181732,8988,95023,90849,4174,95697,90883,4814,190720,185839,183923,1916,4881,4881,4336,545,0,0,0,0,0,0,0,0,0,0,0,0
